;== NAME      RA           Dec        Lon         Lat     DESIGN NVISITS       TYPE SURV PRI  MJD   HA   COMMENTS ==
  K19-076+07  297.9375     40.9965     75.6694      7.1459 100     1    kep_apokasc  N    9  Y1    3.0 ;K19_APOKASC
  K20-073+09  294.6833     39.6141     73.2317      8.6420 100     1    kep_apokasc  N    9  Y1    3.0 ;K20_APOKASC_Com
  K21-071+10  291.5541     38.1605     70.7870     10.1342 100     1    kep_apokasc  N    9  Y1    3.0 ;K21_APOKASC_Com
  K04-083+13  295.6957     49.9017     82.8417     12.7941 400     1        kep_koi  N    6  Y1   -3.0 ;K4_KOI
  K06-078+16  288.4125     46.8752     77.9046     15.8987 200     1        kep_koi  N    6  Y1   -1.0 ;K6_KOI
  K07-075+17  285.0706     45.2130     75.3874     17.4238 200     1        kep_koi  N    6  Y1   -3.0 ;K7_KOI
  K10-079+12  294.1249     46.0047     78.7979     11.9624 400     1        kep_koi  N    6  Y1   -1.0 ;K10_KOI
  K21-071+10  291.5541     38.1605     70.7870     10.1342 500     1        kep_koi  N    6  Y1    0.0 ;K21_KOI
  000+12      255.3518    -22.2382      0.0000     12.0000 110     9          bulge  N    9  Y1    0.0 ;
  PAL5M5      229.2235      1.0630      2.3300     46.4700 111     3     cluster_gc  N    8  Y1   -1.0 ;Pal5_and_M5
  PAL5M5      229.2235      1.0630      2.3300     46.4700 211     3     cluster_gc  N    8  Y1   -1.0 ;Pal5_and_M5
  N188        11.86667     85.3050    122.8440     22.4341 100     2     cluster_oc  N    9  Y1    0.0 ;NGC188_circumpolar
180+75      177.5858     34.4490    180.0000     75.0000    110 3           halo  N    7  Y2    1.0    ;
180+75      177.5858     34.4490    180.0000     75.0000    210 3           halo  N    7  Y2    2.0    ;
180+75      177.5858     34.4490    180.0000     75.0000    310 3           halo  N    7  Y2    2.0    ;
180+75      177.5858     34.4490    180.0000     75.0000    410 3           halo  N    7  Y2    2.0    ;
300+75      192.0836     12.1460    300.0000     75.0000    110 6           halo  N    7  Y2    1.0    ;
300+75      192.0836     12.1460    300.0000     75.0000    210 6           halo  N    7  Y2    0.0    ;
270+60      177.0831      1.2264    270.0000     60.0000    310 6           halo  N    8  Y2    1.0    ;
040+45      242.8204     23.5698     40.0000     45.0000    110 6           halo  N    7  Y2   -2.0    ;
040+45      242.8204     23.5698     40.0000     45.0000    210 6           halo  N    7  Y2   -2.0    ;
180+45      140.2762     41.6480    180.0000     45.0000    110 6           halo  N    7  Y2    2.0    ;added
